,Date,AMD,NVDA,GOOG,NFLX,T,TSLA,AAPL,F,ATVI,TTWO
324,01/03/2023,64.0199966430664,143.0990753173828,89.69999694824219,294.95001220703125,17.895841598510742,108.0999984741211,124.53865814208984,10.73495101928711,76.05947875976562,103.11000061035156
325,01/04/2023,64.66000366210938,147.43756103515625,88.70999908447266,309.4100036621094,18.277820587158203,113.63999938964844,125.82318878173828,11.038249969482422,76.01990509033203,106.7699966430664
326,01/05/2023,62.33000183105469,142.59927368164062,86.7699966430664,309.70001220703125,18.344667434692383,110.33999633789062,124.48887634277344,11.258831977844238,76.13862609863281,105.95999908447266
327,01/06/2023,63.959999084472656,148.5371551513672,88.16000366210938,315.54998779296875,18.65025520324707,113.05999755859375,129.0693359375,11.56213092803955,76.76190185546875,104.75
328,01/09/2023,67.23999786376953,156.2244110107422,88.80000305175781,315.1700134277344,18.444881439208984,119.7699966430664,129.59707641601562,11.663229942321777,76.39585876464844,105.0999984741211
329,01/10/2023,68.05000305175781,159.03341674804688,89.23999786376953,327.5400085449219,18.861440658569336,118.8499984741211,130.17462158203125,11.801093101501465,76.86083984375,105.52999877929688
330,01/11/2023,69.05999755859375,159.95309448242188,92.26000213623047,327.260009765625,18.803316116333008,123.22000122070312,132.9228973388672,12.150346755981445,76.1781997680664,105.26000213623047
331,01/12/2023,70.80000305175781,165.05128479003906,91.91000366210938,330.1300048828125,18.803316116333008,123.55999755859375,132.84323120117188,12.343356132507324,76.07926940917969,104.29000091552734
332,01/13/2023,71.0,168.92991638183594,92.80000305175781,332.82000732421875,18.93893814086914,122.4000015258789,134.1875,11.690802574157715,75.84183502197266,105.02999877929688
333,01/17/2023,71.58999633789062,176.95704650878906,92.16000366210938,326.2200012207031,18.725814819335938,131.49000549316406,135.36248779296875,11.644848823547363,73.76424407958984,104.54000091552734
334,01/18/2023,70.52999877929688,173.7082061767578,91.77999877929688,326.3299865722656,18.425506591796875,128.77999877929688,134.63558959960938,11.405884742736816,73.68510437011719,103.22000122070312
335,01/19/2023,67.70999908447266,167.5903778076172,93.91000366210938,315.7799987792969,18.348007202148438,127.16999816894531,134.69534301757812,11.19449520111084,72.97278594970703,102.26000213623047
336,01/20/2023,70.06999969482422,178.32655334472656,99.27999877929688,342.5,18.62894058227539,133.4199981689453,137.28428649902344,11.39669418334961,73.05192565917969,106.58999633789062
337,01/23/2023,76.52999877929688,191.86172485351562,101.20999908447266,357.4200134277344,18.503005981445312,143.75,140.51051330566406,11.76432991027832,74.41719818115234,110.66999816894531
338,01/24/2023,74.69999694824219,192.58148193359375,99.20999908447266,363.8299865722656,18.56113052368164,143.88999938964844,141.9244842529297,11.709183692932129,74.3083724975586,111.2699966430664
339,01/25/2023,74.91000366210938,193.16128540039062,96.7300033569336,367.9599914550781,19.781747817993164,144.42999267578125,141.25732421875,11.755138397216797,73.84339141845703,110.69999694824219
