linear,lasso,ridge,poly
0.89805255,0.897940832,0.029575001,1.557505445
1.408949664,1.408772154,0.031499726,1.026368143
1.235968206,1.235815935,0.028120266,1.153155542
1.246625078,1.246464041,0.035368354,1.122981318
0.778245236,0.778150617,0.026157539,1.085432608
0.622251075,0.622176451,0.024152663,1.098679057
0.640023047,0.639946553,0.023658323,0.898334028
0.235740377,0.235715309,0.007680386,0.238680648
0.151421578,0.151405729,0.005662109,-0.465004918
0.310390016,0.310355676,0.012892979,0.333214885
0.215497827,0.215475473,0.004523806,-0.106280464
0.255147222,0.255119367,0.011118462,1.801551039
0.363333569,0.363292254,0.0166181,2.263278798
0.32759848,0.327561101,0.017091391,0.637456979
0.246445778,0.246418294,0.013962613,-0.23740555
0.301587958,0.301553267,0.018212447,0.241409922
0.438799902,0.438750192,0.016102818,-0.386915753
0.430858704,0.430809991,0.015831319,-0.023359524
0.510626004,0.510567611,0.017399823,0.535985391
0.706801299,0.706719209,0.019566916,3.38260416
1.948782732,1.948548304,0.024598914,1.567191686
1.224244045,1.22410716,0.014317025,0.47643019
0.697420445,0.69734393,0.011770936,0.935941067
1.055022489,1.05489794,0.021883533,1.616359945
0.868016572,0.867917791,0.016727557,1.521750783
0.599436161,0.599369496,0.013589156,1.675662599
0.592894338,0.59282838,0.013631282,1.810174127
0.464018155,0.463968033,0.0097182,1.42362226
0.451795908,0.451747375,0.008998145,1.501490188
0.592742686,0.592675756,0.015655077,0.605987188
1.014454189,1.014341647,0.01325793,0.63924283
0.8889638,0.888857006,0.024404178,0.896433919
0.909515633,0.909406177,0.024660503,0.879558398
0.927871826,0.927759382,0.025678103,0.936557624
0.995150351,0.995033063,0.021647952,1.272760945
1.277989362,1.277836016,0.02423008,2.735368768
1.951455159,1.951221209,0.024102634,2.212480626
1.77588738,1.7756801,0.020265776,0.125348321
1.024162032,1.024038981,0.02442165,1.210838003
1.151878538,1.151736827,0.02791008,1.377372181
1.157682437,1.157539925,0.028000391,1.353928084
1.309989532,1.309825233,0.030812545,1.407322699
0.490595151,0.490542055,0.009972533,0.521669321
1.184342944,1.184200747,0.0243191,1.072310947
0.886157262,0.88605687,0.016108184,0.824113589
0.977254704,0.977142417,0.018060761,0.654640641
0.415456458,0.415412692,0.006476863,0.800485415
