poly,lasso,ridge,Linear
-2.25764944,-2.20337899,4.465829323,-2.20369017
-1.828434959,-1.758324114,4.8692121,-1.758587821
-1.283748831,-1.311405795,5.262503985,-1.311621905
-1.15645479,-1.282684601,5.285630487,-1.282897827
-0.755993787,-1.037652503,5.488091929,-1.037840405
-2.743928772,-0.511531433,5.725136337,-0.51166466
-7.923642762,0.880932283,6.194067314,0.880949093
-15.11385328,2.791295713,6.689505721,2.791519199
-28.75551543,3.099654036,6.778904615,3.099908816
-29.86182839,1.942959564,6.170484545,1.943087048
-30.70065896,0.92407109,5.625265345,0.924087508
-31.41868632,0.202230188,5.296008041,0.202170491
-31.44120503,-0.1517888,5.168226758,-0.151884649
-31.71083658,-0.797399244,4.940216669,-0.79756209
-29.30432632,0.734001353,5.216556627,0.733998647
-28.1340357,1.242606289,5.469541599,1.242656572
-26.44566713,1.670720361,5.666410802,1.670814851
-26.2876496,1.852869368,5.78009412,1.852982416
-26.14629011,2.49466351,6.697914031,2.494850466
-26.3694055,2.928707005,7.365486699,2.928942151
-26.88539919,3.363111778,8.057484359,3.363395331
-26.35965492,3.300019616,7.866936176,3.30029666
-25.87390833,3.315725274,7.918342936,3.316003902
-25.72133634,3.313528887,7.910092922,3.313807295
-25.40499939,3.29816869,7.853233744,3.298445548
-25.19000758,3.286881843,7.811621486,3.287157564
-25.74761284,3.617209671,8.265148795,3.617520901
-26.38474985,3.782753689,8.53597701,3.783082214
-27.22963015,3.803783813,8.565507037,3.804114452
-28.28701073,3.835141246,8.607620504,3.835475043
-30.29533636,4.013331848,8.819175667,4.013684088
-30.03048442,4.239270008,9.209376769,4.239646299
-33.17260098,4.651932195,9.598760171,4.652352409
-37.1986363,5.235575299,10.11145385,5.236058821
-35.48614082,6.286367301,11.10660528,6.286973171
-34.9153616,7.059068279,12.06368037,7.059763632
-34.66899678,7.260672888,12.2388897,7.261388986
-34.19626076,8.057480495,13.05634097,8.058287032
-33.31991516,9.210324554,14.32468444,9.211270519
-32.00979816,9.505077909,14.84967842,9.506055906
-30.56169681,9.888278996,15.53982151,9.889299682
-28.57014111,10.36957938,16.39433645,10.37065499
-28.29385154,10.56546196,16.73516506,10.56655826
-28.9041754,10.65158539,16.87770438,10.65269051
-27.39084604,10.41272604,16.77458495,10.41380686
-26.52401187,9.981835175,16.51003254,9.982871021
-25.2535294,10.00941372,16.52958103,10.01045233
-24.18103493,9.737220117,16.3269017,9.738230597
-22.97359561,10.14508428,16.62540465,10.14613756
-22.76537926,10.71868833,17.05547549,10.71980305
-22.5330205,11.51371742,17.64459365,11.51491938
-29.59051868,12.05588531,17.93048893,12.05714405
-28.56796133,13.18155237,19.23300467,13.18294788
-27.75052396,14.20294763,20.28463368,14.20446302
-27.38417191,15.03077687,21.10470218,15.03238625
-26.98181149,15.81757618,21.94379213,15.81927516
-26.50014885,16.5321386,22.7019873,16.53391798
-25.5900019,16.93915304,22.98914592,16.94097505
-24.22467136,16.85990016,22.94560625,16.86171418
-21.78021613,16.48887776,22.76799522,16.49065359
-20.21615288,15.88178672,22.48709812,15.88349903
-18.37292776,17.08499714,23.19063909,17.08684375
-17.3094962,18.98722166,24.05524505,18.98928565
-14.99460118,19.94931065,24.84259793,19.95148337
-13.40762336,20.62000538,26.02381253,20.62225825
-11.69278524,21.30323794,27.30289583,21.30557356
